-126606716 4456
-39539626 2924
-5445204#1 1169
-5445204#2 780
113939244#2 782
23339459 5199
30350450#0 2372
30350450#1 5397
30350450#2 3894
30405356 294
30405358#1 10528
4006702#0 1880
4006702#1 8574
4900041#1 259
4900043 14549
5931612 231
85355911#0 1366
85355911#1 234
85355912 3120
:1154372516_1 190
:1154372516_9 6
:1391319738_1 165
:14319163_0 344
:15159498_3 24
:15159498_4 43
:21113204_1 157
:252726232_7 194
:252726522_0 4
:25504668_1 82
:25504668_2 71
:25504677_0 253
:335145965_2 201
:411797709_0 84
:cluster_12247700_12529558_18 159
:cluster_12247700_12529558_7 232
:cluster_1291385694_36814051_6 192
:cluster_15159499_18038479_21113262_347787163_8851291_5 161
:cluster_15159499_18038479_21113262_347787163_8851291_6 134
:cluster_314448347_347349359_1 348
